,Topic_1
Term_1256,absorptive capacity field
Term_1257,absorptive capacity research
Term_1258,abstract
Term_1259,abstract stems
Term_1260,abstract stems clustering
Term_1261,abstract worth
Term_1262,abstract worth time
Term_1263,abstracting
Term_1264,abstracting core
Term_1265,abstracting core subnet
Term_1266,abstracting theory
Term_1267,abstracting theory practice
Term_1268,abstraction
Term_1269,abstraction assistant
Term_1270,abstraction assistant automatic
Term_1271,abstracts
Term_1272,abstracts america
Term_1273,abstracts america history
Term_1274,abstracts biennial
Term_1275,abstracts biennial conference
Term_1276,abstracts case
Term_1277,abstracts case study
Term_1278,abstracts citation
Term_1279,abstracts citation contexts
Term_1280,abstracts database
Term_1281,abstracts design
Term_1282,abstracts design user
Term_1283,abstracts introductions
Term_1284,abstracts introductions discussions
Term_1285,abstracts logical
Term_1286,abstracts logical structure
Term_1287,abstracts natural
Term_1288,abstracts natural medical
Term_1289,abstracts pharmacology
Term_1290,abstracts pharmacology sociology
Term_1291,abstracts quality
Term_1292,abstracts quality weighting
Term_1293,abstracts social
Term_1294,abstracts social sciences
Term_1295,abstracts tracking
Term_1296,abstracts tracking literature
Term_1297,abuse
Term_1298,abuse traditional
Term_1299,abuse traditional indicators
Term_1300,aca
Term_1301,aca web
Term_1302,aca web environment
Term_1303,academia
Term_1304,academia collaboration
Term_1305,academia collaboration fuel
Term_1306,academia edu
Term_1307,academia edu social
Term_1308,academia ending
Term_1309,academia ending selection
Term_1310,academia revisited
Term_1311,academic
Term_1312,academic achievements
Term_1313,academic achievements based
Term_1314,academic articles
Term_1315,academic articles pitfalls
Term_1316,academic awards
Term_1317,academic books
Term_1318,academic books measured
Term_1319,academic brain
Term_1320,academic brain drain
Term_1321,academic business
Term_1322,academic business quality
Term_1323,academic capacity
Term_1324,academic capacity building
Term_1325,academic career
Term_1326,academic careers
Term_1327,academic careers computer
Term_1328,academic chemistry
Term_1329,academic chemistry libraries
Term_1330,academic circle
Term_1331,academic circle case
Term_1332,academic circulation
Term_1333,academic circulation brain
Term_1334,academic citation
Term_1335,academic citation age
Term_1336,academic citations
Term_1337,academic citations evidence
Term_1338,academic collaboration
Term_1339,academic collaboration activities
Term_1340,academic collaboration impact
Term_1341,academic collaboration patterns
Term_1342,academic commercialization
Term_1343,academic commercialization engagement
Term_1344,academic communities
Term_1345,academic communities based
Term_1346,academic community
Term_1347,academic community chornobyl
Term_1348,academic corporate
Term_1349,academic corporate patents
Term_1350,academic database
Term_1351,academic department
Term_1352,academic department social
Term_1353,academic departments
Term_1354,academic departments analysis
Term_1355,academic development
Term_1356,academic development current
Term_1357,academic disciplinary
Term_1358,academic disciplinary benchmarks
Term_1359,academic discipline
Term_1360,academic disciplines
Term_1361,academic disciplines japan
Term_1362,academic disciplines situation
Term_1363,academic disciplines universities
Term_1364,academic economists
Term_1365,academic environment
Term_1366,academic environment qualitative
Term_1367,academic excellence
Term_1368,academic excellence business
Term_1369,academic experience
Term_1370,academic experience prestige
Term_1371,academic fame
Term_1372,academic fame exploration
Term_1373,academic fields
Term_1374,academic freedom
Term_1375,academic genealogy
Term_1376,academic genealogy indicator
Term_1377,academic inbreeding
Term_1378,academic inbreeding research
Term_1379,academic inbreeding scientific
Term_1380,academic influence
Term_1381,academic influence citations
Term_1382,academic influence patterns
Term_1383,academic information
Term_1384,academic information management
Term_1385,academic innovation
Term_1386,academic innovation performance
Term_1387,academic institutions
Term_1388,academic institutions according
Term_1389,academic institutions country
Term_1390,academic institutions critique
Term_1391,academic institutions europe
Term_1392,academic institutions experiment
Term_1393,academic institutions south
Term_1394,academic institutions web
Term_1395,academic inventors
Term_1396,academic inventors china
Term_1397,academic ivory
Term_1398,academic ivory tower
Term_1399,academic journals
Term_1400,academic journals based
Term_1401,academic journals china
Term_1402,academic journals economics
Term_1403,academic journals evaluated
Term_1404,academic journals field
Term_1405,academic journals gap
Term_1406,academic journals published
Term_1407,academic knowledge
Term_1408,academic knowledge production
Term_1409,academic libraries
Term_1410,academic libraries high
Term_1411,academic libraries understanding
Term_1412,academic library
Term_1413,academic library research
Term_1414,academic library specialties
Term_1415,academic library web
Term_1416,academic lifecycle
Term_1417,academic mailing
Term_1418,academic mailing lists
Term_1419,academic mandate
Term_1420,academic media
Term_1421,academic media publications
Term_1422,academic medicine
Term_1423,academic medicine results
Term_1424,academic metasearch
Term_1425,academic network
Term_1426,academic networks
Term_1427,academic networks unveiling
Term_1428,academic odyssey
Term_1429,academic odyssey writing
Term_1430,academic organizations
Term_1431,academic origin
Term_1432,academic origin 1st
Term_1433,academic output
Term_1434,academic output gap
Term_1435,academic output using
Term_1436,academic papers
Term_1437,academic papers humanities
Term_1438,academic patenting
Term_1439,academic patenting legislation
Term_1440,academic patenting scientific
Term_1441,academic patents
Term_1442,academic patents germany
Term_1443,academic patents ip
Term_1444,academic performance
Term_1445,academic performance brazilian
Term_1446,academic personnel
Term_1447,academic personnel selection
Term_1448,academic portal
Term_1449,academic position
Term_1450,academic position large
Term_1451,academic positions
Term_1452,academic productivity
Term_1453,academic productivity based
Term_1454,academic productivity correlated
Term_1455,academic productivity nobel
Term_1456,academic programs
Term_1457,academic programs bovine
Term_1458,academic promotion
Term_1459,academic promotion index
Term_1460,academic psychiatry
Term_1461,academic psychologists
Term_1462,academic psychologists assessment
Term_1463,academic publication
Term_1464,academic publication nih
Term_1465,academic publications
Term_1466,academic publications practical
Term_1467,academic publications sectors
Term_1468,academic publishing
Term_1469,academic publishing collaboration
Term_1470,academic publishing disciplines
Term_1471,academic publishing stock
Term_1472,academic quality
Term_1473,academic quality cross
Term_1474,academic questions
Term_1475,academic questions education
Term_1476,academic rank
Term_1477,academic rank scientific
Term_1478,academic ranking
Term_1479,academic ranking world
Term_1480,academic rankings
Term_1481,academic rankings closer
Term_1482,academic rankings universities
Term_1483,academic ranks
Term_1484,academic ranks productive
Term_1485,academic recruitment
Term_1486,academic recruitment turnover
Term_1487,academic research
Term_1488,academic research barrier
Term_1489,academic research commercialization
Term_1490,academic research comparison
Term_1491,academic research evidence
Term_1492,academic research funding
Term_1493,academic research funds
Term_1494,academic research groups
Term_1495,academic research knowledge
Term_1496,academic research performance
Term_1497,academic research publication
Term_1498,academic research resources
Term_1499,academic research technical
Term_1500,academic researchers
Term_1501,academic researchers united
Term_1502,academic resources
Term_1503,academic resources humanities
Term_1504,academic risk
Term_1505,academic science
Term_1506,academic science consumer
Term_1507,academic science drew
Term_1508,academic science industrial
Term_1509,academic scientific
Term_1510,academic scientific collaboration
Term_1511,academic scientists
Term_1512,academic search
Term_1513,academic search engine
Term_1514,academic search google
Term_1515,academic search versus
Term_1516,academic social
Term_1517,academic social network
Term_1518,academic social networking
Term_1519,academic social site
Term_1520,academic social sites
Term_1521,academic society
Term_1522,academic staff
Term_1523,academic staff affect
Term_1524,academic staff indicator
Term_1525,academic statisticians
Term_1526,academic team
Term_1527,academic team formation
Term_1528,academic trace
Term_1529,academic trace performance
Term_1530,academic transition
Term_1531,academic transition international
Term_1532,academic transition role
Term_1533,academic web
Term_1534,academic web european
Term_1535,academic web linking
Term_1536,academic web page
Term_1537,academic web space
Term_1538,academic web use
Term_1539,academic weblogs
Term_1540,academic webs
Term_1541,academic webs growth
Term_1542,academic webs power
Term_1543,academic workplace
Term_1544,academic workplace daily
Term_1545,academic writers
Term_1546,academic writers citations
Term_1547,academic writing
Term_1548,academic writing distributed
Term_1549,academician
Term_1550,academician aging
Term_1551,academicians
Term_1552,academicians chinese
Term_1553,academicians chinese academy
Term_1554,academicians supervising
Term_1555,academicians supervising phd
Term_1556,academics
Term_1557,academics cite
Term_1558,academics cite analysis
Term_1559,academics economic
Term_1560,academics economic growth
Term_1561,academics economics
Term_1562,academics economics business
Term_1563,academics evidence
Term_1564,academics evidence australian
Term_1565,academics processes
Term_1566,academics processes knowledge
Term_1567,academics professionals
Term_1568,academics professionals information
Term_1569,academics publish
Term_1570,academics publish cited
Term_1571,academics really
Term_1572,academics really research
Term_1573,academics research
Term_1574,academics research universities
Term_1575,academics university
Term_1576,academics university granada
Term_1577,academies
Term_1578,academies scientific
Term_1579,academies scientific societies
Term_1580,academy
Term_1581,academy international
Term_1582,academy international business
Term_1583,academy sciences
Term_1584,academy sciences based
Term_1585,academy sciences webometric
Term_1586,academy versus
Term_1587,academy versus industry
Term_1588,acceleration
Term_1589,acceleration citing
Term_1590,acceleration citing behavior
Term_1591,accelerators
Term_1592,accept
Term_1593,accept decline
Term_1594,acceptable
Term_1595,acceptable drugs
Term_1596,acceptable drugs field
Term_1597,acceptance
Term_1598,acceptance bioinformatics
Term_1599,acceptance bioinformatics tools
Term_1600,acceptance intelligence
Term_1601,acceptance intelligence security
Term_1602,acceptance journal
Term_1603,acceptance journal literature
Term_1604,acceptance mediation
Term_1605,acceptance mediation causality
Term_1606,acceptance multimedia
Term_1607,acceptance multimedia messaging
Term_1608,acceptance publication
Term_1609,acceptance rates
Term_1610,acceptance rates cross
Term_1611,acceptance research
Term_1612,accepted
Term_1613,accepted agewandte
Term_1614,accepted agewandte chemie
Term_1615,accepted angewandte
Term_1616,accepted angewandte chemie
Term_1617,accepted quickly
Term_1618,accepted quickly ii
Term_1619,accepting
Term_1620,accepting rejecting
Term_1621,accepting rejecting manuscripts
Term_1622,access
Term_1623,access advantage
Term_1624,access advantage considering
Term_1625,access articles
Term_1626,access articles greater
Term_1627,access authorship
Term_1628,access bibliographic
Term_1629,access bibliographic databases
Term_1630,access biomedical
Term_1631,access biomedical literature
Term_1632,access bridging
Term_1633,access bridging multiple
Term_1634,access cataloging
Term_1635,access cataloging guide
Term_1636,access catalogs
Term_1637,access catalogs mixed
Term_1638,access china
Term_1639,access citation
Term_1640,access citation impact
Term_1641,access citation scholarly
Term_1642,access controlled
Term_1643,access controlled shaping
Term_1644,access cyberlearning
Term_1645,access cyberlearning projects
Term_1646,access data
Term_1647,access data collection
Term_1648,access data files
Term_1649,access digital
Term_1650,access digital library
Term_1651,access discovery
Term_1652,access discovery folktales
Term_1653,access electronic
Term_1654,access electronic journals
Term_1655,access environment
Term_1656,access google
Term_1657,access google google
Term_1658,access health
Term_1659,access health life
Term_1660,access improving
Term_1661,access improving countries
Term_1662,access information
Term_1663,access information retrieval
Term_1664,access innovation
Term_1665,access innovation papers
Term_1666,access insights
Term_1667,access insights simulation
Term_1668,access international
Term_1669,access international authorships
Term_1670,access journal
Term_1671,access journal atmospheric
Term_1672,access journal publishing
Term_1673,access journals
Term_1674,access journals analysis
Term_1675,access journals application
Term_1676,access journals different
Term_1677,access journals disciplinary
Term_1678,access journals evolution
Term_1679,access journals investigation
Term_1680,access journals library
Term_1681,access journals subject
Term_1682,access journals using
Term_1683,access large
Term_1684,access large document
Term_1685,access later
Term_1686,access later career
Term_1687,access library
Term_1688,access library information
Term_1689,access management
Term_1690,access management single
Term_1691,access mandate
Term_1692,access molecular
Term_1693,access molecular medicine
Term_1694,access music
Term_1695,access music resources
Term_1696,access oa
Term_1697,access oa articles
Term_1698,access overlooked
Term_1699,access overlooked high
Term_1700,access patterns
Term_1701,access patterns inform
Term_1702,access policies
Term_1703,access policies scholarly
Term_1704,access principle
Term_1705,access principle case
Term_1706,access publication
Term_1707,access publication scholarly
Term_1708,access publications
Term_1709,access publications social
Term_1710,access published
Term_1711,access published documents
Term_1712,access publishing
Term_1713,access publishing able
Term_1714,access publishing biological
Term_1715,access publishing sources
Term_1716,access repositories
Term_1717,access repositories worldwide
Term_1718,access research
Term_1719,access research scholarship
Term_1720,access resources
Term_1721,access retrieval
Term_1722,access retrieval information
Term_1723,access scientific
Term_1724,access scientific literature
Term_1725,access scientometrics
Term_1726,access scientometrics uk
Term_1727,access scopus
Term_1728,access scopus new
Term_1729,access social
Term_1730,access social sciences
Term_1731,access social service
Term_1732,access solutions
Term_1733,access sony
Term_1734,access sony music
Term_1735,access sources
Term_1736,access sources text
Term_1737,access subject
Term_1738,access subject repositories
Term_1739,access terror
Term_1740,access terror related
Term_1741,access tool
Term_1742,access universities
Term_1743,access universities public
Term_1744,access web
Term_1745,access web introduction
Term_1746,access world
Term_1747,access world science
Term_1748,accessa
Term_1749,accessa survey
Term_1750,accessa survey current
Term_1751,accessibility
Term_1752,accessibility case
Term_1753,accessibility case european
Term_1754,accessibility evaluation
Term_1755,accessibility expertise
Term_1756,accessibility expertise retrieval
Term_1757,accessibility foundation
Term_1758,accessibility foundation research
Term_1759,accessibility graphics
Term_1760,accessibility graphics stem
Term_1761,accessibility internet
Term_1762,accessibility internet references
Term_1763,accessibility source
Term_1764,accessibility source selection
Term_1765,accessibility use
Term_1766,accessibility use information
Term_1767,accessibility web
Term_1768,accessibility web references
Term_1769,accessibility western
Term_1770,accessibility western european
Term_1771,accessible
Term_1772,accessible bibliometric
Term_1773,accessible bibliometric indicators
Term_1774,accessible databases
Term_1775,accessible databases case
Term_1776,accessing
Term_1777,accessing browsing
Term_1778,accessing browsing information
Term_1779,accidental
Term_1780,accidental systems
Term_1781,accidental systems librarian
Term_1782,acclimation
Term_1783,acclimation stress
Term_1784,acclimation stress does
Term_1785,accommodate
Term_1786,accommodate different
Term_1787,accommodate different cognitive
Term_1788,accommodate disciplinary
Term_1789,accommodate disciplinary career
Term_1790,accomplishment
Term_1791,accomplishments
Term_1792,accomplishments methodology
Term_1793,accomplishments methodology results
Term_1794,accomplishments science
Term_1795,accomplishments science definition
Term_1796,according
Term_1797,according benford
Term_1798,according benford law
Term_1799,according biomedical
Term_1800,according biomedical specialty
Term_1801,according genre
Term_1802,according impact
Term_1803,according impact factor
Term_1804,according journal
Term_1805,according journal citation
Term_1806,according journal publication
Term_1807,according languages
Term_1808,according multidimensional
Term_1809,according multidimensional prestige
Term_1810,according nature
Term_1811,according nature science
Term_1812,according origin
Term_1813,according origin visits
Term_1814,according outputs
Term_1815,according outputs case
Term_1816,according positions
Term_1817,according positions core
Term_1818,according power
Term_1819,according power laws
